Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
46,tt9744698,2019-03-24,2019-03-24,,"Nova: Decoding the Great Pyramid","Nova: Decoding the Great Pyramid",https://www.imdb.com/title/tt9744698/,TV Episode,7.4,54,2019,"Documentary",116,2019-02-06,"Tom Fowlie",7,2019-03-24
47,tt7689964,2019-03-31,2019-03-31,,"RBG","RBG",https://www.imdb.com/title/tt7689964/,Movie,7.6,98,2018,"Documentary, Biography",15181,2018-07-26,"Julie Cohen, Betsy West",8,2019-03-31
48,tt0249248,2019-04-02,2019-04-02,,"Julianes Sturz in den Dschungel","Julianes Sturz in den Dschungel",https://www.imdb.com/title/tt0249248/,TV Movie,7.5,65,1999,"Documentary, Adventure, Biography, History",1543,2000-02-01,"Werner Herzog",8,2019-04-02
49,tt3455224,2019-04-04,2019-04-04,,"Virunga","Virunga",https://www.imdb.com/title/tt3455224/,Movie,8.1,100,2014,"Documentary, War",12347,2014-11-07,"Orlando von Einsiedel",8,2019-04-04
50,tt7905466,2019-04-14,2019-04-14,,"They Shall Not Grow Old","They Shall Not Grow Old",https://www.imdb.com/title/tt7905466/,Movie,8.2,99,2018,"Documentary, History, War",38924,2019-02-01,"Peter Jackson",7,2019-04-14
51,tt3521134,2019-06-22,2019-06-22,,"The Look of Silence","The Look of Silence",https://www.imdb.com/title/tt3521134/,Movie,8.3,103,2014,"Documentary, Biography, History",14054,2015-07-17,"Joshua Oppenheimer",9,2019-06-22
52,tt0105208,2019-07-15,2019-07-15,,"Ram Ke Naam","Ram Ke Naam",https://www.imdb.com/title/tt0105208/,Movie,8.9,90,1992,"Documentary",964,2014-12-29,"Anand Patwardhan",10,2019-07-15
53,tt4044364,2019-07-22,2019-07-22,,"Citizenfour","Citizenfour",https://www.imdb.com/title/tt4044364/,Movie,8.0,114,2014,"Documentary, Biography",58427,2014-11-28,"Laura Poitras",8,2019-07-22
54,tt1449854,2019-08-15,2019-08-15,,"The Call of the Wild","The Call of the Wild",https://www.imdb.com/title/tt1449854/,Movie,7.3,155,2007,"Documentary",363,2007-09-29,"Ron Lamothe",8,2019-08-15
55,tt7983794,2019-08-15,2019-08-15,,"Operation Odessa","Operation Odessa",https://www.imdb.com/title/tt7983794/,Movie,7.7,92,2018,"Documentary, Crime",6990,2018-04-01,"Tiller Russell",8,2019-08-15
56,tt7768848,2019-08-22,2019-08-22,,"Wild Wild Country","Wild Wild Country",https://www.imdb.com/title/tt7768848/,TV Mini Series,8.1,70,2018,"Documentary, Crime",35892,2018-03-16,,9,2019-08-22
