Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,CoverLink,Year
1126068,Betrayers of the Truth: Fraud and Deceit in the Halls of Science,William J. Broad,"Broad, William J.",Nicholas Wade,"=""0671495496""","=""9780671495497""",0,3.82,Simon & Schuster,Paperback,256,1983,,,2022/08/07,to-read,to-read (#30),to-read,,,,0,0,#N/A,Err:502
58178115,Amader Shantiniketan,Shivani,"Shivani, Shivani",Ira Pande,"=""9391149243""","=""9789391149246""",3,4.23,Vintage Books,Kindle Edition,129,2021,2007,2022/07/13,2022/07/12,,,read,,,,1,0,1622139363l,2022
385,On Bullshit,Harry G. Frankfurt,"Frankfurt, Harry G.",,"=""0691122946""","=""9780691122946""",0,3.58,Princeton University Press,Hardcover,67,2005,2005,,2022/07/03,to-read,to-read (#29),to-read,,,,0,0,#N/A,Err:502
57175350,"Conscious Mind, Resonant Brain: How Each Brain Makes a Mind",Stephen Grossberg,"Grossberg, Stephen",,"=""0190070552""","=""9780190070557""",0,4.65,Oxford University Press,Hardcover,768,2021,,,2022/06/20,to-read,to-read (#28),to-read,,,,0,0,#N/A,Err:502
20885436,India Uninc.,R. Vaidyanathan,"Vaidyanathan, R.",,"=""""","=""""",0,3.92,Westland,Kindle Edition,259,2014,2014,,2022/02/19,to-read,to-read (#27),to-read,,,,0,0,#N/A,Err:502
6232657,A Mathematician's Lament: How School Cheats Us Out of Our Most Fascinating and Imaginative Art Form,Paul  Lockhart,"Lockhart, Paul",Keith Devlin,"=""1934137170""","=""9781934137178""",4,4.21,Bellevue Literary Press,Paperback,140,2009,2009,2022/02/08,2022/02/08,,,read,,,,1,0,1354903601l,2022
9403549,Known and Unknown,Donald Rumsfeld,"Rumsfeld, Donald",,"=""159523067X""","=""9781595230676""",0,3.81,Sentinel,Hardcover,815,2011,2011,,2021/12/27,to-read,to-read (#26),to-read,,,,0,0,#N/A,Err:502
168872,The Cartoon Guide to Statistics,Larry Gonick,"Gonick, Larry",Woollcott Smith,"=""0062731025""","=""9780062731029""",3,3.9,HarperPerennial,Paperback,230,1993,1993,2021/12/21,2021/12/21,,,read,,,,1,0,1347462819l,2021
22119020,An Undocumented Wonder : The Making of the Great Indian Election,S.Y. Quraishi,"Quraishi, S.Y.",,"=""8129131064""","=""9788129131065""",3,3.8,Rupa Publications ,Hardcover,416,2014,2014,2021/12/19,2021/12/19,,,read,,,,1,0,1400283718l,2021
51771831,Analytical Skills for AI and Data Science: Building Skills for an AI-Driven Enterprise,Daniel Vaughan,"Vaughan, Daniel",,"=""1492060941""","=""9781492060949""",3,3.54,O'Reilly Media,Paperback,242,2020,2020,2021/12/18,2021/12/18,,,read,,,,1,0,1590426855l,2021
295,Treasure Island,Robert Louis Stevenson,"Stevenson, Robert Louis",N.C. Wyeth,"=""0753453800""","=""9780753453803""",3,3.85,Kingfisher,Hardcover,352,2001,1882,2021/11/11,2021/11/11,,,read,,,,1,0,1485248909l,2021
29566771,The Abbey of Bliss: A Translation of Bankim Chandra Chatterjee's Anandamath,Bankim Chandra Chattopadhyay,"Chattopadhyay, Bankim Chandra",Nares Chandra Sen Gupta,"=""""","=""""",3,3.89,Padinini Mohan Neogi,Hardcover,201,1906,1882,2021/11/08,2021/11/07,,,read,,,,1,0,1458570912l,2021
1330324,"Sea of Poppies (Ibis Trilogy, #1)",Amitav Ghosh,"Ghosh, Amitav",,"=""071956896X""","=""9780719568961""",3,3.97,John Murray Publisher,Paperback,513,2008,2008,,2021/10/15,,,read,,,,2,0,1327376395l,2021
37906748,Bullshit Jobs: A Theory,David Graeber,"Graeber, David",,"=""""","=""""",3,4.03,Penguin,Kindle Edition,347,2018,2018,2021/07/16,2021/07/16,,,read,,,,1,0,1515622340l,2021
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""""","=""""",4,4.26,Harper Perennial Modern Classics ,Paperback,323,2006,1960,2021/06/20,2021/06/20,,,read,,,,1,0,1553383690l,2021
20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""""","=""""",3,4.08,Tor Books,Hardcover,472,2014,2006,2021/06/07,2021/06/07,,,read,,,,1,0,1415428227l,2021
